LNTITLE,fips,TOT_EST_2016,CVAP_EST_2016
American Indian or Alaska Native and Black or African American,22055,240,175
Remainder of Two or More Race Responses,22055,825,235
Hispanic or Latino,22055,10330,3970
Total,22057,97690,72545
Not Hispanic or Latino,22057,93500,71165
American Indian or Alaska Native Alone,22057,2145,1660
Asian Alone,22057,800,255
Black or African American Alone,22057,12995,9045
Native Hawaiian or Other Pacific Islander Alone,22057,25,0
White Alone,22057,75370,59250
American Indian or Alaska Native and White,22057,1090,585
Asian and White,22057,180,130
Black or African American and White,22057,490,60
American Indian or Alaska Native and Black or African American,22057,135,50
Remainder of Two or More Race Responses,22057,265,135
Hispanic or Latino,22057,4190,1385
Total,22059,14925,11185
Not Hispanic or Latino,22059,14550,11115
American Indian or Alaska Native Alone,22059,150,90
Asian Alone,22059,0,0
Black or African American Alone,22059,1845,1435
Native Hawaiian or Other Pacific Islander Alone,22059,10,10
White Alone,22059,12430,9495
American Indian or Alaska Native and White,22059,80,75
Asian and White,22059,0,0
Black or African American and White,22059,35,4
American Indian or Alaska Native and Black or African American,22059,0,0
Remainder of Two or More Race Responses,22059,0,0
Hispanic or Latino,22059,380,70
Total,22061,47480,36510
Not Hispanic or Latino,22061,46155,36055
American Indian or Alaska Native Alone,22061,80,60
Asian Alone,22061,845,325
Black or African American Alone,22061,19245,14775
Native Hawaiian or Other Pacific Islander Alone,22061,0,0
White Alone,22061,25280,20435
American Indian or Alaska Native and White,22061,160,100
Asian and White,22061,60,25
Black or African American and White,22061,375,235
American Indian or Alaska Native and Black or African American,22061,80,80
Remainder of Two or More Race Responses,22061,30,30
Hispanic or Latino,22061,1325,455
Total,22063,135925,98815
Not Hispanic or Latino,22063,131360,96830
American Indian or Alaska Native Alone,22063,400,355
Asian Alone,22063,645,505
Black or African American Alone,22063,8100,5290
Native Hawaiian or Other Pacific Islander Alone,22063,10,10
White Alone,22063,120660,89860
American Indian or Alaska Native and White,22063,645,410
Asian and White,22063,460,155
Black or African American and White,22063,365,165
American Indian or Alaska Native and Black or African American,22063,0,0
Remainder of Two or More Race Responses,22063,75,75
Hispanic or Latino,22063,4565,1985
Total,22065,11805,8900
Not Hispanic or Latino,22065,11575,8750
American Indian or Alaska Native Alone,22065,10,10
Asian Alone,22065,0,0
Black or African American Alone,22065,7445,5350
Native Hawaiian or Other Pacific Islander Alone,22065,0,0
White Alone,22065,4045,3345
American Indian or Alaska Native and White,22065,25,0
Asian and White,22065,0,0
Black or African American and White,22065,50,45
American Indian or Alaska Native and Black or African American,22065,0,0
Remainder of Two or More Race Responses,22065,0,0
Hispanic or Latino,22065,230,150
Total,22067,26740,20040
Not Hispanic or Latino,22067,26420,19945
American Indian or Alaska Native Alone,22067,20,20
Asian Alone,22067,90,20
Black or African American Alone,22067,12925,9170
Native Hawaiian or Other Pacific Islander Alone,22067,0,0
White Alone,22067,13275,10680
American Indian or Alaska Native and White,22067,15,15
Asian and White,22067,25,25
Black or African American and White,22067,55,4
American Indian or Alaska Native and Black or African American,22067,10,10
Remainder of Two or More Race Responses,22067,4,4
Hispanic or Latino,22067,320,95
Total,22069,39260,29635
Not Hispanic or Latino,22069,38435,29160
American Indian or Alaska Native Alone,22069,430,310
Asian Alone,22069,250,115
Black or African American Alone,22069,16060,11660
Native Hawaiian or Other Pacific Islander Alone,22069,0,0
White Alone,22069,20965,16735
American Indian or Alaska Native and White,22069,195,170
Asian and White,22069,40,10
Black or African American and White,22069,410,85
American Indian or Alaska Native and Black or African American,22069,4,0
Remainder of Two or More Race Responses,22069,85,70
Hispanic or Latino,22069,825,475
Total,22071,382920,292175
Not Hispanic or Latino,22071,361970,281310
American Indian or Alaska Native Alone,22071,570,445
Asian Alone,22071,11155,6125
Black or African American Alone,22071,227580,170740
Native Hawaiian or Other Pacific Islander Alone,22071,70,45
White Alone,22071,117740,100665
American Indian or Alaska Native and White,22071,910,765
Asian and White,22071,885,545
Black or African American and White,22071,2040,1265
American Indian or Alaska Native and Black or African American,22071,275,200
Remainder of Two or More Race Responses,22071,745,520
Hispanic or Latino,22071,20950,10865
Total,22073,156400,115005
Not Hispanic or Latino,22073,153115,113325
American Indian or Alaska Native Alone,22073,415,325
Asian Alone,22073,1505,755
Black or African American Alone,22073,58630,40065
Native Hawaiian or Other Pacific Islander Alone,22073,15,15
White Alone,22073,91595,71715
American Indian or Alaska Native and White,22073,305,210
Asian and White,22073,195,55
Black or African American and White,22073,385,120
American Indian or Alaska Native and Black or African American,22073,30,30
Remainder of Two or More Race Responses,22073,45,45
Hispanic or Latino,22073,3285,1680
Total,22075,23585,16600
Not Hispanic or Latino,22075,22120,16065
American Indian or Alaska Native Alone,22075,185,165
Asian Alone,22075,845,445
Black or African American Alone,22075,4830,3410
Native Hawaiian or Other Pacific Islander Alone,22075,0,0
White Alone,22075,15645,11770
American Indian or Alaska Native and White,22075,325,220
Asian and White,22075,75,0
Black or African American and White,22075,140,20
American Indian or Alaska Native and Black or African American,22075,4,4
Remainder of Two or More Race Responses,22075,70,35
Hispanic or Latino,22075,1465,535
Total,22077,22365,16995
Not Hispanic or Latino,22077,21845,16830
American Indian or Alaska Native Alone,22077,55,35
Asian Alone,22077,25,25
Black or African American Alone,22077,7875,5810
Native Hawaiian or Other Pacific Islander Alone,22077,0,0
White Alone,22077,13600,10895
American Indian or Alaska Native and White,22077,35,30
Asian and White,22077,60,10
Black or African American and White,22077,180,10
American Indian or Alaska Native and Black or African American,22077,4,4
Remainder of Two or More Race Responses,22077,10,10
Hispanic or Latino,22077,520,165
Total,22079,132375,97015
Not Hispanic or Latino,22079,128515,95345
American Indian or Alaska Native Alone,22079,725,580
Asian Alone,22079,2015,785
Black or African American Alone,22079,42320,29540
Native Hawaiian or Other Pacific Islander Alone,22079,50,50
White Alone,22079,81505,63265
American Indian or Alaska Native and White,22079,920,665
Asian and White,22079,135,70
Black or African American and White,22079,550,170
American Indian or Alaska Native and Black or African American,22079,160,100
Remainder of Two or More Race Responses,22079,130,120
Hispanic or Latino,22079,3860,1670
Total,22081,8755,6560
Not Hispanic or Latino,22081,8590,6505
American Indian or Alaska Native Alone,22081,35,35
Asian Alone,22081,4,0
Black or African American Alone,22081,3270,2410
Native Hawaiian or Other Pacific Islander Alone,22081,0,0
White Alone,22081,5010,4000
American Indian or Alaska Native and White,22081,115,35
Asian and White,22081,0,0
Black or African American and White,22081,135,4
American Indian or Alaska Native and Black or African American,22081,15,15
Remainder of Two or More Race Responses,22081,4,4
Hispanic or Latino,22081,165,55
Total,22083,20690,15500
Not Hispanic or Latino,22083,20275,15225
American Indian or Alaska Native Alone,22083,15,15
Asian Alone,22083,20,10
Black or African American Alone,22083,7520,5290
Native Hawaiian or Other Pacific Islander Alone,22083,0,0
White Alone,22083,12580,9840
American Indian or Alaska Native and White,22083,60,45
Asian and White,22083,4,4
Black or African American and White,22083,55,0
American Indian or Alaska Native and Black or African American,22083,10,10
Remainder of Two or More Race Responses,22083,10,10
Hispanic or Latino,22083,415,275
Total,22085,24145,18110
Not Hispanic or Latino,22085,23260,17615
American Indian or Alaska Native Alone,22085,1770,1210
Asian Alone,22085,95,45
Black or African American Alone,22085,4020,2785
Native Hawaiian or Other Pacific Islander Alone,22085,15,15
White Alone,22085,16500,13045
American Indian or Alaska Native and White,22085,630,445
Asian and White,22085,10,0
Black or African American and White,22085,195,55
American Indian or Alaska Native and Black or African American,22085,20,15
Remainder of Two or More Race Responses,22085,10,0
Hispanic or Latino,22085,880,495
Total,22087,44090,31150
Not Hispanic or Latino,22087,39825,28900
American Indian or Alaska Native Alone,22087,230,200
Asian Alone,22087,1000,505
Black or African American Alone,22087,9515,6145
Native Hawaiian or Other Pacific Islander Alone,22087,0,0
White Alone,22087,28480,21765
American Indian or Alaska Native and White,22087,255,150
Asian and White,22087,115,75
Black or African American and White,22087,170,45
American Indian or Alaska Native and Black or African American,22087,15,4
Remainder of Two or More Race Responses,22087,45,15
Hispanic or Latino,22087,4270,2250
Total,22089,52710,38340
Not Hispanic or Latino,22089,49710,36940
American Indian or Alaska Native Alone,22089,120,70
Asian Alone,22089,600,240
Black or African American Alone,22089,13850,9845
Native Hawaiian or Other Pacific Islander Alone,22089,15,15
White Alone,22089,34635,26415
American Indian or Alaska Native and White,22089,230,190
Asian and White,22089,25,25
Black or African American and White,22089,195,85
American Indian or Alaska Native and Black or African American,22089,15,15
Remainder of Two or More Race Responses,22089,30,30
Hispanic or Latino,22089,3000,1405
Total,22091,10715,8250
Not Hispanic or Latino,22091,10700,8245
American Indian or Alaska Native Alone,22091,120,105
Asian Alone,22091,45,15
Black or African American Alone,22091,5700,4175
Native Hawaiian or Other Pacific Islander Alone,22091,0,0
White Alone,22091,4760,3915
American Indian or Alaska Native and White,22091,0,0
Asian and White,22091,25,4
Black or African American and White,22091,15,4
American Indian or Alaska Native and Black or African American,22091,35,25
Remainder of Two or More Race Responses,22091,0,0
Hispanic or Latino,22091,15,4
Total,22093,21580,16405
Not Hispanic or Latino,22093,21260,16235
American Indian or Alaska Native Alone,22093,0,0
Asian Alone,22093,55,15
Black or African American Alone,22093,10775,7975
Native Hawaiian or Other Pacific Islander Alone,22093,0,0
White Alone,22093,10385,8205
American Indian or Alaska Native and White,22093,0,0
Asian and White,22093,0,0
Black or African American and White,22093,4,4
American Indian or Alaska Native and Black or African American,22093,4,4
Remainder of Two or More Race Responses,22093,30,30
Hispanic or Latino,22093,320,170
Total,22095,43890,31995
Not Hispanic or Latino,22095,41475,30765
American Indian or Alaska Native Alone,22095,25,10
Asian Alone,22095,345,65
Black or African American Alone,22095,24190,17190
Native Hawaiian or Other Pacific Islander Alone,22095,60,15
White Alone,22095,16380,13190
American Indian or Alaska Native and White,22095,50,50
Asian and White,22095,15,0
Black or African American and White,22095,240,135
American Indian or Alaska Native and Black or African American,22095,155,110
Remainder of Two or More Race Responses,22095,20,0
Hispanic or Latino,22095,2415,1230
Total,22097,83700,60635
Not Hispanic or Latino,22097,82095,59905
American Indian or Alaska Native Alone,22097,55,55
Asian Alone,22097,370,155
Black or African American Alone,22097,34530,23995
Native Hawaiian or Other Pacific Islander Alone,22097,0,0
White Alone,22097,46040,35070
American Indian or Alaska Native and White,22097,350,350
Asian and White,22097,80,35
Black or African American and White,22097,515,140
American Indian or Alaska Native and Black or African American,22097,45,35
Remainder of Two or More Race Responses,22097,115,70
Hispanic or Latino,22097,1605,730
Total,22099,53385,39400
Not Hispanic or Latino,22099,51955,38850
American Indian or Alaska Native Alone,22099,145,145
Asian Alone,22099,525,225
Black or African American Alone,22099,15650,11045
Native Hawaiian or Other Pacific Islander Alone,22099,15,15
White Alone,22099,34575,26780
American Indian or Alaska Native and White,22099,195,195
Asian and White,22099,30,30
Black or African American and White,22099,640,280
American Indian or Alaska Native and Black or African American,22099,145,130
Remainder of Two or More Race Responses,22099,35,10
Hispanic or Latino,22099,1430,545
Total,22101,53055,38540
Not Hispanic or Latino,22101,49620,37310
American Indian or Alaska Native Alone,22101,565,495
Asian Alone,22101,900,400
Black or African American Alone,22101,16615,12115
Native Hawaiian or Other Pacific Islander Alone,22101,10,10
White Alone,22101,29935,23530
American Indian or Alaska Native and White,22101,575,330
Asian and White,22101,105,35
Black or African American and White,22101,585,215
American Indian or Alaska Native and Black or African American,22101,185,170
Remainder of Two or More Race Responses,22101,150,20
Hispanic or Latino,22101,3430,1230
Total,22103,246270,181895
Not Hispanic or Latino,22103,233370,174760
American Indian or Alaska Native Alone,22103,1035,790
Asian Alone,22103,3780,1965
Black or African American Alone,22103,28495,19940
Native Hawaiian or Other Pacific Islander Alone,22103,60,30
White Alone,22103,196165,150125
American Indian or Alaska Native and White,22103,1015,700
Asian and White,22103,570,320
Black or African American and White,22103,1490,370
American Indian or Alaska Native and Black or African American,22103,340,210
Remainder of Two or More Race Responses,22103,425,315
Hispanic or Latino,22103,12900,7135
Total,22105,127115,94055
Not Hispanic or Latino,22105,122140,91825
American Indian or Alaska Native Alone,22105,445,375
Asian Alone,22105,1000,355
Black or African American Alone,22105,37325,25795
Native Hawaiian or Other Pacific Islander Alone,22105,0,0
White Alone,22105,81140,64155
American Indian or Alaska Native and White,22105,390,305
Asian and White,22105,120,85
Black or African American and White,22105,1175,475
American Indian or Alaska Native and Black or African American,22105,350,190
Remainder of Two or More Race Responses,22105,200,85
Hispanic or Latino,22105,4975,2230
Total,22107,4795,3580
Not Hispanic or Latino,22107,4710,3540
American Indian or Alaska Native Alone,22107,0,0
Asian Alone,22107,0,0
Black or African American Alone,22107,2665,1880
Native Hawaiian or Other Pacific Islander Alone,22107,0,0
White Alone,22107,2030,1660
American Indian or Alaska Native and White,22107,0,0
Asian and White,22107,0,0
Black or African American and White,22107,10,0
American Indian or Alaska Native and Black or African American,22107,0,0
Remainder of Two or More Race Responses,22107,0,0
Hispanic or Latino,22107,85,40
Total,22109,113100,81700
Not Hispanic or Latino,22109,107620,80040
American Indian or Alaska Native Alone,22109,5965,4195
Asian Alone,22109,960,535
Black or African American Alone,22109,21490,14605
Native Hawaiian or Other Pacific Islander Alone,22109,65,40
White Alone,22109,76455,59345
American Indian or Alaska Native and White,22109,1240,620
Asian and White,22109,415,185
Black or African American and White,22109,305,85
American Indian or Alaska Native and Black or African American,22109,360,240
Remainder of Two or More Race Responses,22109,375,185
Hispanic or Latino,22109,5475,1660
Total,22111,22460,17040
Not Hispanic or Latino,22111,21440,16710
American Indian or Alaska Native Alone,22111,15,15
Asian Alone,22111,30,30
Black or African American Alone,22111,5725,4195
Native Hawaiian or Other Pacific Islander Alone,22111,45,45
White Alone,22111,15410,12365
American Indian or Alaska Native and White,22111,40,40
Asian and White,22111,0,0
Black or African American and White,22111,160,4
American Indian or Alaska Native and Black or African American,22111,0,0
Remainder of Two or More Race Responses,22111,15,15
Hispanic or Latino,22111,1020,330
Total,22113,59525,43005
Not Hispanic or Latino,22113,57645,42295
American Indian or Alaska Native Alone,22113,310,250
Asian Alone,22113,1325,620
Black or African American Alone,22113,8385,5470
Native Hawaiian or Other Pacific Islander Alone,22113,0,0
White Alone,22113,46810,35585
American Indian or Alaska Native and White,22113,70,30
Asian and White,22113,95,25
Black or African American and White,22113,530,220
American Indian or Alaska Native and Black or African American,22113,55,30
Remainder of Two or More Race Responses,22113,65,65
Hispanic or Latino,22113,1880,710
Total,22115,52100,37595
Not Hispanic or Latino,22115,47335,34535
American Indian or Alaska Native Alone,22115,585,540
Asian Alone,22115,865,600
Black or African American Alone,22115,7305,5225
Native Hawaiian or Other Pacific Islander Alone,22115,225,130
White Alone,22115,36725,27380
American Indian or Alaska Native and White,22115,400,210
Asian and White,22115,380,155
Black or African American and White,22115,515,125
American Indian or Alaska Native and Black or African American,22115,20,15
Remainder of Two or More Race Responses,22115,315,150
Hispanic or Latino,22115,4765,3060
Total,22117,46365,34630
Not Hispanic or Latino,22117,45425,34295
American Indian or Alaska Native Alone,22117,125,100
Asian Alone,22117,100,90
Black or African American Alone,22117,13825,10040
Native Hawaiian or Other Pacific Islander Alone,22117,4,4
White Alone,22117,30580,23810
American Indian or Alaska Native and White,22117,190,130
Asian and White,22117,55,30
Black or African American and White,22117,505,50
American Indian or Alaska Native and Black or African American,22117,30,30
Remainder of Two or More Race Responses,22117,20,20
Hispanic or Latino,22117,940,330
Total,22119,40335,30940
Not Hispanic or Latino,22119,39630,30530
American Indian or Alaska Native Alone,22119,155,110
Asian Alone,22119,100,95
Black or African American Alone,22119,13800,10165
Native Hawaiian or Other Pacific Islander Alone,22119,25,25
White Alone,22119,25210,19935
American Indian or Alaska Native and White,22119,165,145
Asian and White,22119,95,25
Black or African American and White,22119,35,0
American Indian or Alaska Native and Black or African American,22119,0,0
Remainder of Two or More Race Responses,22119,50,25
Hispanic or Latino,22119,705,410
Total,22121,25015,18610
Not Hispanic or Latino,22121,24305,18290
American Indian or Alaska Native Alone,22121,70,20
Asian Alone,22121,155,50
Black or African American Alone,22121,9435,6845
Native Hawaiian or Other Pacific Islander Alone,22121,0,0
White Alone,22121,14310,11195
American Indian or Alaska Native and White,22121,50,50
Asian and White,22121,15,0
Black or African American and White,22121,230,85
American Indian or Alaska Native and Black or African American,22121,0,0
Remainder of Two or More Race Responses,22121,45,45
Hispanic or Latino,22121,710,320
Total,22123,11370,8605
Not Hispanic or Latino,22123,11025,8445
American Indian or Alaska Native Alone,22123,10,10
Asian Alone,22123,4,0
Black or African American Alone,22123,1815,1330
Native Hawaiian or Other Pacific Islander Alone,22123,0,0
White Alone,22123,9095,7035
American Indian or Alaska Native and White,22123,65,60
Asian and White,22123,10,10
Black or African American and White,22123,35,0
American Indian or Alaska Native and Black or African American,22123,0,0
Remainder of Two or More Race Responses,22123,0,0
Hispanic or Latino,22123,345,155
Total,22125,15385,12720
Not Hispanic or Latino,22125,15145,12620
American Indian or Alaska Native Alone,22125,45,40
Asian Alone,22125,20,15
Black or African American Alone,22125,6995,6110
Native Hawaiian or Other Pacific Islander Alone,22125,0,0
White Alone,22125,7990,6380
American Indian or Alaska Native and White,22125,40,40
Asian and White,22125,4,4
Black or African American and White,22125,25,15
American Indian or Alaska Native and Black or African American,22125,15,15
Remainder of Two or More Race Responses,22125,4,4
Hispanic or Latino,22125,240,100
Total,22127,14695,11470
Not Hispanic or Latino,22127,14420,11305
American Indian or Alaska Native Alone,22127,110,80
Asian Alone,22127,0,0
Black or African American Alone,22127,4610,3565
Native Hawaiian or Other Pacific Islander Alone,22127,0,0
White Alone,22127,9595,7600
American Indian or Alaska Native and White,22127,65,60
Asian and White,22127,0,0
Black or African American and White,22127,25,0
American Indian or Alaska Native and Black or African American,22127,4,4
Remainder of Two or More Race Responses,22127,20,0
Hispanic or Latino,22127,275,165
Total,23001,107375,82620
Not Hispanic or Latino,23001,105515,81605
American Indian or Alaska Native Alone,23001,145,95
Asian Alone,23001,845,545
Black or African American Alone,23001,1665,545
Native Hawaiian or Other Pacific Islander Alone,23001,4,4
White Alone,23001,98130,78065
American Indian or Alaska Native and White,23001,3290,1970
Asian and White,23001,395,130
Black or African American and White,23001,715,165
American Indian or Alaska Native and Black or African American,23001,50,50
Remainder of Two or More Race Responses,23001,270,40
Hispanic or Latino,23001,1860,1010
Total,23003,69405,55290
Not Hispanic or Latino,23003,68670,54850
American Indian or Alaska Native Alone,23003,1135,770
Asian Alone,23003,315,185
Black or African American Alone,23003,560,300
Native Hawaiian or Other Pacific Islander Alone,23003,4,4
White Alone,23003,65660,52990
American Indian or Alaska Native and White,23003,660,420
Asian and White,23003,115,65
Black or African American and White,23003,165,70
American Indian or Alaska Native and Black or African American,23003,0,0
Remainder of Two or More Race Responses,23003,55,45
Hispanic or Latino,23003,735,440
Total,23005,288205,224910
Not Hispanic or Latino,23005,282665,221825
American Indian or Alaska Native Alone,23005,470,395
Asian Alone,23005,5845,3185
Black or African American Alone,23005,7670,2850
Native Hawaiian or Other Pacific Islander Alone,23005,4,4
White Alone,23005,262465,212125
American Indian or Alaska Native and White,23005,1815,1380
Asian and White,23005,2065,850
Black or African American and White,23005,1895,705
American Indian or Alaska Native and Black or African American,23005,105,100
Remainder of Two or More Race Responses,23005,330,235
Hispanic or Latino,23005,5540,3085
Total,23007,30270,24505
Not Hispanic or Latino,23007,29885,24240
American Indian or Alaska Native Alone,23007,115,115
Asian Alone,23007,145,75
Black or African American Alone,23007,130,55
Native Hawaiian or Other Pacific Islander Alone,23007,40,40
White Alone,23007,29055,23705
American Indian or Alaska Native and White,23007,185,165
Asian and White,23007,80,25
Black or African American and White,23007,95,50
American Indian or Alaska Native and Black or African American,23007,4,4
Remainder of Two or More Race Responses,23007,35,4
Hispanic or Latino,23007,385,265
Total,23009,54485,43905
Not Hispanic or Latino,23009,53770,43555
American Indian or Alaska Native Alone,23009,210,145
Asian Alone,23009,520,160
Black or African American Alone,23009,320,150
Native Hawaiian or Other Pacific Islander Alone,23009,15,4
White Alone,23009,51920,42600
American Indian or Alaska Native and White,23009,340,265
Asian and White,23009,175,50
Black or African American and White,23009,205,130
American Indian or Alaska Native and Black or African American,23009,0,0
Remainder of Two or More Race Responses,23009,70,50
Hispanic or Latino,23009,710,345
Total,23011,120955,95610
Not Hispanic or Latino,23011,119225,94510
American Indian or Alaska Native Alone,23011,655,485
Asian Alone,23011,1005,445
Black or African American Alone,23011,1020,590
Native Hawaiian or Other Pacific Islander Alone,23011,35,35
White Alone,23011,114960,91990
American Indian or Alaska Native and White,23011,820,665
Asian and White,23011,255,155
Black or African American and White,23011,180,40
American Indian or Alaska Native and Black or African American,23011,15,15
Remainder of Two or More Race Responses,23011,280,95
Hispanic or Latino,23011,1730,1095
Total,23013,39715,31875
Not Hispanic or Latino,23013,39225,31600
American Indian or Alaska Native Alone,23013,185,110
Asian Alone,23013,260,145
Black or African American Alone,23013,235,125
Native Hawaiian or Other Pacific Islander Alone,23013,0,0
White Alone,23013,38020,30890
American Indian or Alaska Native and White,23013,315,255
Asian and White,23013,30,15
Black or African American and White,23013,150,30
American Indian or Alaska Native and Black or African American,23013,0,0
Remainder of Two or More Race Responses,23013,35,35
Hispanic or Latino,23013,495,275
Total,23015,34165,27785
Not Hispanic or Latino,23015,33815,27585
American Indian or Alaska Native Alone,23015,160,155
Asian Alone,23015,515,160
Black or African American Alone,23015,50,15
Native Hawaiian or Other Pacific Islander Alone,23015,0,0
White Alone,23015,32820,27095
American Indian or Alaska Native and White,23015,155,120
Asian and White,23015,75,25
Black or African American and White,23015,20,0
American Indian or Alaska Native and Black or African American,23015,0,0
Remainder of Two or More Race Responses,23015,15,15
Hispanic or Latino,23015,350,195
Total,23017,57300,45355
Not Hispanic or Latino,23017,56610,45050
American Indian or Alaska Native Alone,23017,285,145
Asian Alone,23017,345,170
Black or African American Alone,23017,195,75
Native Hawaiian or Other Pacific Islander Alone,23017,0,0
White Alone,23017,54875,44220
American Indian or Alaska Native and White,23017,460,340
Asian and White,23017,215,75
Black or African American and White,23017,175,4
American Indian or Alaska Native and Black or African American,23017,30,4
Remainder of Two or More Race Responses,23017,35,15
Hispanic or Latino,23017,690,305
Total,23019,152980,122345
Not Hispanic or Latino,23019,151085,121160
American Indian or Alaska Native Alone,23019,1615,1350
Asian Alone,23019,1720,630
Black or African American Alone,23019,1150,790
Native Hawaiian or Other Pacific Islander Alone,23019,30,15
White Alone,23019,144135,117070
American Indian or Alaska Native and White,23019,1360,875
Asian and White,23019,300,150
Black or African American and White,23019,635,215
American Indian or Alaska Native and Black or African American,23019,25,25
Remainder of Two or More Race Responses,23019,105,50
Hispanic or Latino,23019,1895,1185
Total,23021,17045,13915
Not Hispanic or Latino,23021,16835,13800
American Indian or Alaska Native Alone,23021,90,55
Asian Alone,23021,65,40
Black or African American Alone,23021,70,20
Native Hawaiian or Other Pacific Islander Alone,23021,0,0
White Alone,23021,16320,13495
American Indian or Alaska Native and White,23021,110,75
Asian and White,23021,70,35
Black or African American and White,23021,55,15
American Indian or Alaska Native and Black or African American,23021,0,0
Remainder of Two or More Race Responses,23021,55,55
Hispanic or Latino,23021,210,115
Total,23023,35135,28130
Not Hispanic or Latino,23023,34615,27665
American Indian or Alaska Native Alone,23023,55,45
Asian Alone,23023,240,135
Black or African American Alone,23023,240,140
Native Hawaiian or Other Pacific Islander Alone,23023,0,0
White Alone,23023,33385,26905
American Indian or Alaska Native and White,23023,275,195
Asian and White,23023,185,100
Black or African American and White,23023,30,20
American Indian or Alaska Native and Black or African American,23023,0,0
Remainder of Two or More Race Responses,23023,210,125
Hispanic or Latino,23023,520,465
Total,23025,51365,40715
Not Hispanic or Latino,23025,50855,40395
American Indian or Alaska Native Alone,23025,215,170
Asian Alone,23025,155,40
Black or African American Alone,23025,230,120
Native Hawaiian or Other Pacific Islander Alone,23025,25,20
White Alone,23025,49360,39535
American Indian or Alaska Native and White,23025,380,270
Asian and White,23025,290,150
Black or African American and White,23025,150,55
American Indian or Alaska Native and Black or African American,23025,0,0
Remainder of Two or More Race Responses,23025,45,30
Hispanic or Latino,23025,505,320
Total,23027,39070,30880
Not Hispanic or Latino,23027,38625,30650
American Indian or Alaska Native Alone,23027,75,70
Asian Alone,23027,280,65
Black or African American Alone,23027,200,115
Native Hawaiian or Other Pacific Islander Alone,23027,4,4
White Alone,23027,37490,30015
American Indian or Alaska Native and White,23027,440,310
Asian and White,23027,50,45
Black or African American and White,23027,75,15
American Indian or Alaska Native and Black or African American,23027,10,10
Remainder of Two or More Race Responses,23027,4,4
Hispanic or Latino,23027,445,235
Total,23029,31925,25325
Not Hispanic or Latino,23029,31345,25070
American Indian or Alaska Native Alone,23029,1435,995
Asian Alone,23029,155,110
Black or African American Alone,23029,125,95
Native Hawaiian or Other Pacific Islander Alone,23029,10,4
White Alone,23029,28820,23425
American Indian or Alaska Native and White,23029,535,345
Asian and White,23029,60,25
Black or African American and White,23029,135,45
American Indian or Alaska Native and Black or African American,23029,15,4
Remainder of Two or More Race Responses,23029,60,20
Hispanic or Latino,23029,580,250
Total,23031,200535,158700
Not Hispanic or Latino,23031,197415,156705
American Indian or Alaska Native Alone,23031,680,580
Asian Alone,23031,2180,1150
Black or African American Alone,23031,1685,965
Native Hawaiian or Other Pacific Islander Alone,23031,25,15
White Alone,23031,190220,152720
American Indian or Alaska Native and White,23031,1100,755
Asian and White,23031,885,330
Black or African American and White,23031,425,55
American Indian or Alaska Native and Black or African American,23031,55,25
Remainder of Two or More Race Responses,23031,160,115
Hispanic or Latino,23031,3120,1995
Total,24001,73060,59250
Not Hispanic or Latino,24001,71825,58430
American Indian or Alaska Native Alone,24001,105,105
Asian Alone,24001,590,210
Black or African American Alone,24001,5890,5155
Native Hawaiian or Other Pacific Islander Alone,24001,35,20
White Alone,24001,63960,52170
American Indian or Alaska Native and White,24001,185,165
Asian and White,24001,210,115
Black or African American and White,24001,535,195
American Indian or Alaska Native and Black or African American,24001,130,130
Remainder of Two or More Race Responses,24001,185,170
Hispanic or Latino,24001,1235,820
Total,24003,559735,412595
Not Hispanic or Latino,24003,520335,397195
American Indian or Alaska Native Alone,24003,900,845
Asian Alone,24003,20130,11870
Black or African American Alone,24003,87585,64070
Native Hawaiian or Other Pacific Islander Alone,24003,375,260
White Alone,24003,394085,312130
American Indian or Alaska Native and White,24003,2075,1520
Asian and White,24003,4740,2085
Black or African American and White,24003,6975,2540
American Indian or Alaska Native and Black or African American,24003,805,680
Remainder of Two or More Race Responses,24003,2660,1190
Hispanic or Latino,24003,39400,15405
Total,24005,825665,605360
Not Hispanic or Latino,24005,784815,590355
American Indian or Alaska Native Alone,24005,1820,1350
Asian Alone,24005,48010,22845
Black or African American Alone,24005,224650,156770
Native Hawaiian or Other Pacific Islander Alone,24005,345,255
White Alone,24005,492680,400810
American Indian or Alaska Native and White,24005,2015,1580
Asian and White,24005,4165,1640
Black or African American and White,24005,7325,2930
American Indian or Alaska Native and Black or African American,24005,1065,805
Remainder of Two or More Race Responses,24005,2740,1365
Hispanic or Latino,24005,40850,15005
Total,24009,90525,67845
Not Hispanic or Latino,24009,87435,66065
American Indian or Alaska Native Alone,24009,80,80
Asian Alone,24009,1270,785
Black or African American Alone,24009,10970,8820
Native Hawaiian or Other Pacific Islander Alone,24009,0,0
White Alone,24009,71700,54900
American Indian or Alaska Native and White,24009,565,380
Asian and White,24009,845,400
Black or African American and White,24009,1450,425
American Indian or Alaska Native and Black or African American,24009,75,75
Remainder of Two or More Race Responses,24009,485,205
Hispanic or Latino,24009,3090,1780
Total,24011,32655,23885
Not Hispanic or Latino,24011,30550,23385
American Indian or Alaska Native Alone,24011,30,25
Asian Alone,24011,185,100
Black or African American Alone,24011,4395,3280
Native Hawaiian or Other Pacific Islander Alone,24011,4,4
White Alone,24011,25115,19660
American Indian or Alaska Native and White,24011,155,95
Asian and White,24011,125,65
Black or African American and White,24011,410,90
American Indian or Alaska Native and Black or African American,24011,55,45
